state,date,sex,age,ethnicity,population
Johor,1/1/2013,both,overall,overall,3474.4
Johor,1/1/2013,both,overall,bumi_malay,1832.8
Johor,1/1/2013,both,overall,bumi_other,57.5
Johor,1/1/2013,both,overall,chinese,1065.7
Johor,1/1/2013,both,overall,indian,224.2
Johor,1/1/2013,both,overall,other_citizen,16.1
Johor,1/1/2013,both,overall,other_noncitizen,278.5
Johor,1/1/2014,both,overall,overall,3559.8
Johor,1/1/2014,both,overall,bumi_malay,1858.7
Johor,1/1/2014,both,overall,bumi_other,58.3
Johor,1/1/2014,both,overall,chinese,1072.8
Johor,1/1/2014,both,overall,indian,227.6
Johor,1/1/2014,both,overall,other_citizen,17.2
Johor,1/1/2014,both,overall,other_noncitizen,325.1
Johor,1/1/2015,both,overall,overall,3610.3
Johor,1/1/2015,both,overall,bumi_malay,1886.5
Johor,1/1/2015,both,overall,bumi_other,59.3
Johor,1/1/2015,both,overall,chinese,1078.8
Johor,1/1/2015,both,overall,indian,230.8
Johor,1/1/2015,both,overall,other_citizen,18
Johor,1/1/2015,both,overall,other_noncitizen,336.8
Johor,1/1/2016,both,overall,overall,3651.8
Johor,1/1/2016,both,overall,bumi_malay,1908.6
Johor,1/1/2016,both,overall,bumi_other,59
Johor,1/1/2016,both,overall,chinese,1085.4
Johor,1/1/2016,both,overall,indian,232.5
Johor,1/1/2016,both,overall,other_citizen,18.4
Johor,1/1/2016,both,overall,other_noncitizen,347.4
Johor,1/1/2017,both,overall,overall,3697
Johor,1/1/2017,both,overall,bumi_malay,1937
Johor,1/1/2017,both,overall,bumi_other,60.9
Johor,1/1/2017,both,overall,chinese,1092.8
Johor,1/1/2017,both,overall,indian,235.6
Johor,1/1/2017,both,overall,other_citizen,18.6
Johor,1/1/2017,both,overall,other_noncitizen,352.5
Johor,1/1/2018,both,overall,overall,3749.4
Johor,1/1/2018,both,overall,bumi_malay,1971.3
Johor,1/1/2018,both,overall,bumi_other,64.5
Johor,1/1/2018,both,overall,chinese,1098.6
Johor,1/1/2018,both,overall,indian,239.1
Johor,1/1/2018,both,overall,other_citizen,18.6
Johor,1/1/2018,both,overall,other_noncitizen,357.2
Johor,1/1/2019,both,overall,overall,3761.2
Johor,1/1/2019,both,overall,bumi_malay,2005.5
Johor,1/1/2019,both,overall,bumi_other,68
Johor,1/1/2019,both,overall,chinese,1103.9
Johor,1/1/2019,both,overall,indian,241.8
Johor,1/1/2019,both,overall,other_citizen,18.5
Johor,1/1/2019,both,overall,other_noncitizen,323.8
Johor,1/1/2020,both,overall,overall,4009.7
Johor,1/1/2020,both,overall,bumi_malay,2158.4
Johor,1/1/2020,both,overall,bumi_other,60.8
Johor,1/1/2020,both,overall,chinese,1208.7
Johor,1/1/2020,both,overall,indian,244.3
Johor,1/1/2020,both,overall,other_citizen,18.4
Johor,1/1/2020,both,overall,other_noncitizen,319.2
Johor,1/1/2021,both,overall,overall,4020
Johor,1/1/2021,both,overall,bumi_malay,2188.7
Johor,1/1/2021,both,overall,bumi_other,57.5
Johor,1/1/2021,both,overall,chinese,1211.5
